file_name,cmp_ratio,abs_mean_uncmp,std_dev,min_uncmp,max_uncmp,mean_uncmp,cmp_time,read_time,write_time,tot_time,
Dsi_30min_170803013007_170803020007_ch5500_6000/Dsi_30min_170803013007_170803020007_ch5500_6000.h5,4.89858,97.3796,136.163,-6057,6094,-0.650796,4222,44577,634,74467,
Dsi_30min_170803030007_170803033007_ch5500_6000/Dsi_30min_170803030007_170803033007_ch5500_6000.h5,4.89869,99.0452,133.334,-5871,5992,-0.646073,4251,45037,681,75797,
Dsi_30min_170803040007_170803043007_ch5500_6000/Dsi_30min_170803040007_170803043007_ch5500_6000.h5,4.89871,95.9327,127.332,-6029,6161,-0.48504,4260,45040,623,76095,
Dsi_30min_170803023007_170803030007_ch5500_6000/Dsi_30min_170803023007_170803030007_ch5500_6000.h5,4.89871,96.1202,127.898,-5902,6124,-0.492829,4323,45159,571,76205,
Dsi_30min_170803020007_170803023007_ch5500_6000/Dsi_30min_170803020007_170803023007_ch5500_6000.h5,4.89868,99.976,135.255,-5958,6189,-0.687519,4296,45137,558,76251,
Dsi_30min_170803010007_170803013007_ch5500_6000/Dsi_30min_170803010007_170803013007_ch5500_6000.h5,4.8986,102.21,140.868,-6026,6170,-0.534913,4344,45229,553,76271,
Dsi_30min_170803000007_170803003007_ch5500_6000/Dsi_30min_170803000007_170803003007_ch5500_6000.h5,4.89813,112.69,168.004,-6162,6098,-0.322617,4350,45275,587,76303,
Dsi_30min_170803033007_170803040007_ch5500_6000/Dsi_30min_170803033007_170803040007_ch5500_6000.h5,4.89868,95.1061,127.267,-6096,6285,-0.565436,4244,45026,1445,76324,
Dsi_30min_170803003007_170803010007_ch5500_6000/Dsi_30min_170803003007_170803010007_ch5500_6000.h5,4.89831,107.995,156.167,-6210,6071,-0.808891,4336,45407,645,76323,
Dsi_30min_170803043007_170803050007_ch5500_6000/Dsi_30min_170803043007_170803050007_ch5500_6000.h5,4.89875,92.1104,120.366,-5783,6083,-0.444252,4338,45299,1196,76443,
Dsi_30min_170803050007_170803053007_ch5500_6000/Dsi_30min_170803050007_170803053007_ch5500_6000.h5,4.89876,93.9959,123.083,-5817,5817,-0.64541,4212,45197,1293,75716,
Dsi_30min_170803060007_170803063007_ch5500_6000/Dsi_30min_170803060007_170803063007_ch5500_6000.h5,4.89872,97.2194,128.965,-6015,5981,-0.568268,4229,44519,558,74392,
Dsi_30min_170803053007_170803060007_ch5500_6000/Dsi_30min_170803053007_170803060007_ch5500_6000.h5,4.89874,95.5673,125.085,-6000,5663,-0.636941,4225,44619,1164,75559,
Dsi_30min_170803073007_170803080007_ch5500_6000/Dsi_30min_170803073007_170803080007_ch5500_6000.h5,4.89877,95.0986,123.115,-6012,5709,-0.483727,4312,44744,644,75206,
Dsi_30min_170803063007_170803070007_ch5500_6000/Dsi_30min_170803063007_170803070007_ch5500_6000.h5,4.89875,97.272,127.524,-5776,5981,-0.518993,4283,44839,591,75382,
Dsi_30min_170803093007_170803100007_ch5500_6000/Dsi_30min_170803093007_170803100007_ch5500_6000.h5,4.89878,92.7259,120.242,-5589,5762,-0.586643,4342,44719,778,75256,
Dsi_30min_170803080007_170803083007_ch5500_6000/Dsi_30min_170803080007_170803083007_ch5500_6000.h5,4.89875,94.691,124.185,-5902,5812,-0.457511,4340,44749,659,75332,
Dsi_30min_170803090007_170803093007_ch5500_6000/Dsi_30min_170803090007_170803093007_ch5500_6000.h5,4.89876,96.3464,126.171,-5841,5737,-0.501138,4354,44767,998,75435,
Dsi_30min_170803070007_170803073007_ch5500_6000/Dsi_30min_170803070007_170803073007_ch5500_6000.h5,4.89875,96.0994,125.335,-5867,5808,-0.488698,4318,44774,1680,75813,
Dsi_30min_170803083007_170803090007_ch5500_6000/Dsi_30min_170803083007_170803090007_ch5500_6000.h5,4.89876,93.4056,122.612,-5851,5985,-0.453242,4341,44750,2011,75962,
Dsi_30min_170803143007_170803150007_ch5500_6000/Dsi_30min_170803143007_170803150007_ch5500_6000.h5,4.89815,107.469,160.267,-6107,6255,-0.457464,4285,44993,526,69829,
