file_name,cmp_ratio,abs_mean_uncmp,min_uncmp,max_uncmp,mean_uncmp,cmp_time,read_time,write_time,tot_time,
DF__UTC_20201110_231858/DF__UTC_20201110_231858.642.h5,4.2476,484.534,-23752,22589,-0.0728354,1712,8638,277,15544,
DF__UTC_20201110_232758/DF__UTC_20201110_232758.642.h5,4.24749,483.197,-23294,23429,-0.229823,1715,8555,268,15603,
DF__UTC_20201110_231958/DF__UTC_20201110_231958.642.h5,4.24748,503.855,-24213,23890,-0.195458,1746,8765,274,15775,
DF__UTC_20201110_232158/DF__UTC_20201110_232158.642.h5,4.2478,464.532,-23041,24062,-0.00490968,1738,8693,267,15797,
DF__UTC_20201110_232058/DF__UTC_20201110_232058.642.h5,4.2477,468.362,-23712,23928,0.0754879,1712,8506,1801,17149,
DF__UTC_20201110_232658/DF__UTC_20201110_232658.642.h5,4.24726,485.173,-24003,23994,-0.134166,1708,8564,2002,17321,
DF__UTC_20201110_232358/DF__UTC_20201110_232358.642.h5,4.24713,476.17,-24699,24577,-0.44625,1753,8713,1849,17466,
DF__UTC_20201110_232258/DF__UTC_20201110_232258.642.h5,4.24723,462.235,-24578,23948,-0.673154,1725,8603,2166,17600,
DF__UTC_20201110_232558/DF__UTC_20201110_232558.642.h5,4.24765,485.091,-23710,23593,0.191138,1722,8777,2189,17740,
DF__UTC_20201110_232458/DF__UTC_20201110_232458.642.h5,4.24766,463.917,-23814,24515,-0.212027,1716,8738,2715,18324,
DF__UTC_20201110_233058/DF__UTC_20201110_233058.642.h5,4.24703,472.824,-24675,23633,0.0426774,1732,8356,261,15315,
DF__UTC_20201110_232858/DF__UTC_20201110_232858.642.h5,4.24791,450.095,-22646,22246,-0.00111126,1732,8346,1915,17048,
DF__UTC_20201110_233158/DF__UTC_20201110_233158.642.h5,4.24789,464.311,-22525,22730,-0.20102,1713,8961,1147,16996,
DF__UTC_20201110_233458/DF__UTC_20201110_233458.642.h5,4.24704,478.604,-24844,25310,-0.995628,1696,8523,264,15582,
DF__UTC_20201110_232958/DF__UTC_20201110_232958.642.h5,4.24735,464.044,-23835,24390,-0.0567125,1711,8605,2029,17452,
DF__UTC_20201110_233258/DF__UTC_20201110_233258.642.h5,4.24723,480.423,-23980,24642,-0.223092,1724,8208,2059,17019,
DF__UTC_20201110_233558/DF__UTC_20201110_233558.642.h5,4.24697,487.892,-24497,24546,-0.737192,1704,10104,252,17285,
DF__UTC_20201110_233658/DF__UTC_20201110_233658.642.h5,4.24791,490.39,-22407,23292,0.0111485,1716,8435,2142,17327,
DF__UTC_20201110_233358/DF__UTC_20201110_233358.642.h5,4.24686,464.822,-25149,24581,-0.65362,1701,8632,2490,18107,
DF__UTC_20201110_233758/DF__UTC_20201110_233758.642.h5,4.24729,514.292,-23373,24655,-0.192033,1692,8618,2385,17667,
DF__UTC_20201110_233858/DF__UTC_20201110_233858.642.h5,4.24693,501.551,-24479,23549,-0.385161,1722,8463,253,15497,
DF__UTC_20201110_234058/DF__UTC_20201110_234058.642.h5,4.24761,486.207,-22897,24275,-0.142288,1738,8673,269,15816,
DF__UTC_20201110_234158/DF__UTC_20201110_234158.642.h5,4.24731,474.707,-24140,23403,-0.328764,1747,8534,278,15609,
DF__UTC_20201110_233958/DF__UTC_20201110_233958.642.h5,4.24717,490.237,-24129,24034,-0.169746,1721,8895,1951,17667,
DF__UTC_20201110_234458/DF__UTC_20201110_234458.642.h5,4.2473,475.059,-23936,24042,-0.371141,1701,8425,252,15615,
DF__UTC_20201110_234258/DF__UTC_20201110_234258.642.h5,4.24737,467.174,-23865,24002,-0.353827,1722,8725,1923,17609,
DF__UTC_20201110_234658/DF__UTC_20201110_234658.642.h5,4.24685,478.21,-24650,24705,-1.29935,1689,8706,257,15668,
DF__UTC_20201110_234358/DF__UTC_20201110_234358.642.h5,4.24735,459.16,-24586,22986,-0.236241,1708,8991,2027,17890,
DF__UTC_20201110_234558/DF__UTC_20201110_234558.642.h5,4.24732,479.57,-24291,23550,-0.617976,1694,8460,1574,17019,
DF__UTC_20201110_234758/DF__UTC_20201110_234758.642.h5,4.24706,474.08,-24535,24200,-0.870282,1697,8510,1942,17148,
DF__UTC_20201110_234958/DF__UTC_20201110_234958.642.h5,4.2478,465.256,-22540,24237,-0.577779,1708,8204,256,15271,
DF__UTC_20201110_235058/DF__UTC_20201110_235058.642.h5,4.24707,476.659,-24811,24546,-0.655661,1751,8576,277,15668,
DF__UTC_20201110_234858/DF__UTC_20201110_234858.642.h5,4.24743,468.01,-23358,23755,-0.155395,1710,8774,2322,17808,
DF__UTC_20201110_235358/DF__UTC_20201110_235358.642.h5,4.24756,452.564,-24153,23428,-0.731711,1727,8597,261,15536,
DF__UTC_20201110_235258/DF__UTC_20201110_235258.642.h5,4.24736,458.74,-24219,24580,-0.56454,1740,8294,2228,17168,
DF__UTC_20201110_235558/DF__UTC_20201110_235558.642.h5,4.24741,461.566,-23788,23331,-0.544729,1677,8671,305,15677,
DF__UTC_20201110_235158/DF__UTC_20201110_235158.642.h5,4.24765,481.128,-23303,24002,-0.482674,1716,8769,2392,18138,
DF__UTC_20201110_235458/DF__UTC_20201110_235458.642.h5,4.2476,483.255,-23377,23571,-0.625609,1707,8549,1907,17366,
