file_name,cmp_ratio,abs_mean_uncmp,std_dev,min_uncmp,max_uncmp,mean_uncmp,cmp_time,read_time,write_time,tot_time,
DF__UTC_20201119_170032/DF__UTC_20201119_170032.602.h5,4.24761,478.95,793.508,-24349,24495,-0.196448,1704,8877,271,20441,
DF__UTC_20201117_105132/DF__UTC_20201117_105132.602.h5,4.24815,423.532,712.971,-22595,21502,-0.272916,1695,8965,269,20509,
DF__UTC_20201118_120832/DF__UTC_20201118_120832.602.h5,4.23576,902.329,1825.81,-24981,25009,0.0782205,1789,8530,490,20560,
DF__UTC_20201119_233232/DF__UTC_20201119_233232.602.h5,4.24689,486.45,841.429,-24883,24846,-0.593323,1740,8066,1016,20585,
DF__UTC_20201113_055632/DF__UTC_20201113_055632.602.h5,4.2409,894.389,1587.36,-24847,25279,0.0632893,1759,8805,1896,22236,
DF__UTC_20201113_033532/DF__UTC_20201113_033532.602.h5,4.2477,403.445,695.09,-24425,24572,-0.215998,1694,8528,2431,22253,
DF__UTC_20201205_054132/DF__UTC_20201205_054132.602.h5,4.24809,424.411,704.4,-23310,22213,-0.04814,1696,8740,2193,22260,
DF__UTC_20201122_191432/DF__UTC_20201122_191432.602.h5,4.24823,376.69,635.597,-22683,21222,0.0122736,1681,8941,2182,22393,
DF__UTC_20201128_084332/DF__UTC_20201128_084332.602.h5,4.24825,386.812,646.236,-22551,22193,-0.0604083,1703,8961,2397,22661,
DF__UTC_20201205_195332/DF__UTC_20201205_195332.602.h5,4.24771,484.193,793.719,-24071,23918,-0.213463,1706,13295,1905,26081,
DF__UTC_20201207_035732/DF__UTC_20201207_035732.602.h5,4.1855,1878.55,3796.13,-25392,25305,2.71528,1632,7806,385,18335,
