file_name,cmp_ratio,abs_mean_uncmp,std_dev,min_uncmp,max_uncmp,mean_uncmp,cmp_time,read_time,write_time,tot_time,
aug16_160816210548/aug16_160816210548.tdms.h5,4.8188,443.978,924.046,-6352,6354,-3.84505,2471,12671,395,30563,
aug16_160816210948/aug16_160816210948.tdms.h5,4.81897,450.081,923.739,-6347,6347,-4.16515,2475,12724,387,30603,
aug16_160816210448/aug16_160816210448.tdms.h5,4.81866,451.389,926.579,-6341,6360,-3.84124,2499,12863,527,30902,
aug16_160816210748/aug16_160816210748.tdms.h5,4.81964,443.125,917.414,-6376,6341,-3.1975,2486,12779,665,30953,
aug16_160816210648/aug16_160816210648.tdms.h5,4.82015,439.604,915.813,-6335,6376,-3.52825,2485,12779,975,31248,
aug16_160816211248/aug16_160816211248.tdms.h5,4.81846,445.775,926.241,-6336,6369,-4.08884,2559,12968,428,31321,
aug16_160816211348/aug16_160816211348.tdms.h5,4.81908,444.672,923.082,-6331,6332,-4.01117,2587,13014,422,31554,
aug16_160816211148/aug16_160816211148.tdms.h5,4.81614,458.852,941.243,-6356,6341,-4.27215,2570,13008,497,31585,
aug16_160816210848/aug16_160816210848.tdms.h5,4.81978,449.201,919.268,-6359,6352,-3.56954,2589,13016,429,31598,
aug16_160816211048/aug16_160816211048.tdms.h5,4.81956,441.903,917.69,-6378,6376,-4.13968,2607,13074,1378,32206,
aug16_160816211748/aug16_160816211748.tdms.h5,4.82057,436.723,912.098,-6343,6291,-3.67933,2475,12507,397,30288,
aug16_160816211948/aug16_160816211948.tdms.h5,4.82073,440.047,911.692,-6365,6363,-3.85579,2501,12482,441,30334,
aug16_160816212248/aug16_160816212248.tdms.h5,4.82005,438.215,914.912,-6381,6337,-3.90814,2513,12473,374,30265,
aug16_160816212148/aug16_160816212148.tdms.h5,4.81894,445.846,921.916,-6387,6322,-3.98252,2511,12441,402,30276,
aug16_160816211548/aug16_160816211548.tdms.h5,4.82185,434.567,903.77,-6356,6345,-3.80252,2586,12804,424,31340,
aug16_160816211648/aug16_160816211648.tdms.h5,4.81996,438.764,917.945,-6317,6339,-3.73001,2586,12784,396,31331,
aug16_160816212048/aug16_160816212048.tdms.h5,4.82188,435.095,904.948,-6336,6399,-3.5808,2558,12757,387,31070,
aug16_160816211848/aug16_160816211848.tdms.h5,4.81939,446.748,920.726,-6355,6369,-3.85598,2552,12738,796,31500,
aug16_160816211448/aug16_160816211448.tdms.h5,4.82093,434.896,908.563,-6370,6326,-3.76246,2587,12816,1426,32280,
aug16_160816212348/aug16_160816212348.tdms.h5,4.82139,433.688,904.255,-6406,6317,-3.74965,2572,12639,350,30852,
aug16_160816212748/aug16_160816212748.tdms.h5,4.82142,433.781,905.063,-6370,6338,-4.00377,2476,12405,392,30140,
aug16_160816212448/aug16_160816212448.tdms.h5,4.82248,436.933,901.869,-6335,6342,-3.90477,2581,12499,385,30906,
aug16_160816212948/aug16_160816212948.tdms.h5,4.82024,456.934,917.794,-6374,6356,-3.90478,2507,12570,391,30396,
aug16_160816212648/aug16_160816212648.tdms.h5,4.82284,426.554,897.819,-6325,6372,-3.67055,2596,12793,375,31167,
aug16_160816213048/aug16_160816213048.tdms.h5,4.8226,432.891,899.547,-6326,6304,-3.83731,2546,12643,369,30454,
aug16_160816213248/aug16_160816213248.tdms.h5,4.82272,430.514,897.287,-6350,6329,-4.02774,2573,12723,578,31078,
aug16_160816213348/aug16_160816213348.tdms.h5,4.81914,441.1,921.483,-6325,6369,-3.39175,2564,12818,386,31030,
aug16_160816212848/aug16_160816212848.tdms.h5,4.82198,432.373,902.226,-6342,6342,-3.69294,2563,12719,1902,32428,
aug16_160816213148/aug16_160816213148.tdms.h5,4.82244,437.229,901.471,-6331,6348,-3.62516,2537,12480,1528,31676,
aug16_160816212548/aug16_160816212548.tdms.h5,4.82182,434.855,905.702,-6308,6336,-3.83025,2568,14331,2628,34650,
aug16_160816213548/aug16_160816213548.tdms.h5,4.82325,429.428,895.04,-6330,6346,-3.50818,2509,12372,357,30345,
aug16_160816213448/aug16_160816213448.tdms.h5,4.82208,429.092,900.812,-6361,6334,-3.61603,2547,12758,465,31043,
aug16_160816213848/aug16_160816213848.tdms.h5,4.81941,445.354,922.956,-6278,6310,-3.68688,2488,12405,496,30370,
aug16_160816213748/aug16_160816213748.tdms.h5,4.82163,438.001,904.897,-6383,6282,-3.80815,2523,12487,382,30447,
aug16_160816213948/aug16_160816213948.tdms.h5,4.81996,443.932,916.184,-6352,6336,-3.54948,2506,12270,765,30466,
aug16_160816214248/aug16_160816214248.tdms.h5,4.82176,431.783,904.222,-6337,6331,-4.08541,2493,12297,369,30000,
aug16_160816213648/aug16_160816213648.tdms.h5,4.82198,434.52,903.461,-6344,6324,-3.63055,2569,12722,1360,31942,
aug16_160816214048/aug16_160816214048.tdms.h5,4.82042,437.613,914.099,-6306,6357,-4.43619,2570,12687,424,31050,
