file_name,cmp_ratio,abs_mean_uncmp,std_dev,min_uncmp,max_uncmp,mean_uncmp,cmp_time,read_time,write_time,tot_time,
DF__UTC_20201110_232258/DF__UTC_20201110_232258.642.h5,4.24723,462.235,793.129,-24578,23948,-0.673154,1913,8814,359,21952,
DF__UTC_20201110_232558/DF__UTC_20201110_232558.642.h5,4.24765,485.091,816.107,-23710,23593,0.191138,1915,9096,313,22222,
DF__UTC_20201110_232458/DF__UTC_20201110_232458.642.h5,4.24766,463.917,774.234,-23814,24515,-0.212027,1914,9077,341,22230,
DF__UTC_20201110_232058/DF__UTC_20201110_232058.642.h5,4.2477,468.362,776.619,-23712,23928,0.0754879,1930,9126,308,22305,
DF__UTC_20201110_231858/DF__UTC_20201110_231858.642.h5,4.2476,484.534,810.323,-23752,22589,-0.0728354,1948,9198,300,22308,
DF__UTC_20201110_232358/DF__UTC_20201110_232358.642.h5,4.24713,476.17,810.941,-24699,24577,-0.44625,1944,9122,376,22386,
DF__UTC_20201110_232158/DF__UTC_20201110_232158.642.h5,4.2478,464.532,787.646,-23041,24062,-0.00490968,1936,9170,768,22710,
DF__UTC_20201110_232658/DF__UTC_20201110_232658.642.h5,4.24726,485.173,836.42,-24003,23994,-0.134166,1914,8861,1827,23462,
DF__UTC_20201110_232758/DF__UTC_20201110_232758.642.h5,4.24749,483.197,831.331,-23294,23429,-0.229823,1960,9170,2152,24155,
DF__UTC_20201110_231958/DF__UTC_20201110_231958.642.h5,4.24748,503.855,835.533,-24213,23890,-0.195458,1948,9519,2557,24866,
DF__UTC_20201110_232858/DF__UTC_20201110_232858.642.h5,4.24791,450.095,758.032,-22646,22246,-0.00111126,1898,8861,289,21970,
DF__UTC_20201110_233258/DF__UTC_20201110_233258.642.h5,4.24723,480.423,824.902,-23980,24642,-0.223092,1913,8716,284,21772,
DF__UTC_20201110_233058/DF__UTC_20201110_233058.642.h5,4.24703,472.824,814.477,-24675,23633,0.0426774,1931,8879,296,21985,
DF__UTC_20201110_233358/DF__UTC_20201110_233358.642.h5,4.24686,464.822,791.504,-25149,24581,-0.65362,1939,8788,316,21924,
DF__UTC_20201110_232958/DF__UTC_20201110_232958.642.h5,4.24735,464.044,805.307,-23835,24390,-0.0567125,1930,8883,389,22133,
DF__UTC_20201110_233158/DF__UTC_20201110_233158.642.h5,4.24789,464.311,776.661,-22525,22730,-0.20102,1905,8796,719,22268,
DF__UTC_20201110_233458/DF__UTC_20201110_233458.642.h5,4.24704,478.604,811.773,-24844,25310,-0.995628,1924,8830,331,21923,
DF__UTC_20201110_233558/DF__UTC_20201110_233558.642.h5,4.24697,487.892,838.669,-24497,24546,-0.737192,1919,8774,281,21807,
DF__UTC_20201110_233658/DF__UTC_20201110_233658.642.h5,4.24791,490.39,824.511,-22407,23292,0.0111485,1895,9700,301,22766,
DF__UTC_20201110_233758/DF__UTC_20201110_233758.642.h5,4.24729,514.292,884.7,-23373,24655,-0.192033,1914,9065,320,22144,
DF__UTC_20201110_233858/DF__UTC_20201110_233858.642.h5,4.24693,501.551,858.517,-24479,23549,-0.385161,1924,8839,295,21970,
DF__UTC_20201110_233958/DF__UTC_20201110_233958.642.h5,4.24717,490.237,840.771,-24129,24034,-0.169746,1914,8819,272,21909,
DF__UTC_20201110_234158/DF__UTC_20201110_234158.642.h5,4.24731,474.707,809.788,-24140,23403,-0.328764,1918,8854,335,22024,
DF__UTC_20201110_234258/DF__UTC_20201110_234258.642.h5,4.24737,467.174,792.752,-23865,24002,-0.353827,1925,8890,272,22002,
DF__UTC_20201110_234058/DF__UTC_20201110_234058.642.h5,4.24761,486.207,836.358,-22897,24275,-0.142288,1901,8887,440,22152,
DF__UTC_20201110_234458/DF__UTC_20201110_234458.642.h5,4.2473,475.059,811.564,-23936,24042,-0.371141,1915,8767,332,21885,
DF__UTC_20201110_234358/DF__UTC_20201110_234358.642.h5,4.24735,459.16,770.968,-24586,22986,-0.236241,1919,8843,302,21955,
DF__UTC_20201110_234558/DF__UTC_20201110_234558.642.h5,4.24732,479.57,805.569,-24291,23550,-0.617976,1916,8783,372,21896,
DF__UTC_20201110_234758/DF__UTC_20201110_234758.642.h5,4.24706,474.08,812.87,-24535,24200,-0.870282,1916,8729,289,21834,
DF__UTC_20201110_234658/DF__UTC_20201110_234658.642.h5,4.24685,478.21,830.309,-24650,24705,-1.29935,1923,8617,557,21999,
DF__UTC_20201110_234858/DF__UTC_20201110_234858.642.h5,4.24743,468.01,808.337,-23358,23755,-0.155395,1905,8756,272,21781,
DF__UTC_20201110_234958/DF__UTC_20201110_234958.642.h5,4.2478,465.256,792.785,-22540,24237,-0.577779,1906,8693,442,21925,
DF__UTC_20201110_235158/DF__UTC_20201110_235158.642.h5,4.24765,481.128,810.57,-23303,24002,-0.482674,1905,8812,306,21910,
DF__UTC_20201110_235258/DF__UTC_20201110_235258.642.h5,4.24736,458.74,781.47,-24219,24580,-0.56454,1920,8865,281,21949,
DF__UTC_20201110_235358/DF__UTC_20201110_235358.642.h5,4.24756,452.564,762.636,-24153,23428,-0.731711,1931,8761,284,21869,
DF__UTC_20201110_235458/DF__UTC_20201110_235458.642.h5,4.2476,483.255,818.905,-23377,23571,-0.625609,1927,8821,278,21920,
DF__UTC_20201110_235058/DF__UTC_20201110_235058.642.h5,4.24707,476.659,816.481,-24811,24546,-0.655661,1935,8928,439,22162,
DF__UTC_20201110_235558/DF__UTC_20201110_235558.642.h5,4.24741,461.566,793.123,-23788,23331,-0.544729,1918,8711,276,21734,
DF__UTC_20201110_235658/DF__UTC_20201110_235658.642.h5,4.24741,465.168,791.356,-24140,22969,-0.707832,1908,8670,294,21714,
DF__UTC_20201110_235758/DF__UTC_20201110_235758.642.h5,4.24683,474.905,828.904,-24858,23828,-1.14733,1928,8721,302,21811,
DF__UTC_20201110_235858/DF__UTC_20201110_235858.642.h5,4.24661,488.351,853.787,-24909,24109,-1.09588,1921,8749,284,21796,
DF__UTC_20201110_235958/DF__UTC_20201110_235958.642.h5,4.24721,464.03,795.18,-24497,23913,-0.885662,1908,8726,279,21763,
DF__UTC_20201111_000058/DF__UTC_20201111_000058.642.h5,4.24735,478.749,823.162,-24108,24619,-0.44749,1909,8617,275,21650,
DF__UTC_20201111_000258/DF__UTC_20201111_000258.642.h5,4.24738,469.315,813.862,-23832,23761,-0.539907,1926,8735,284,21835,
DF__UTC_20201111_000458/DF__UTC_20201111_000458.642.h5,4.2473,474.388,824.074,-23896,23996,-0.614046,1925,8662,302,21743,
DF__UTC_20201111_000358/DF__UTC_20201111_000358.642.h5,4.2472,473.771,824.146,-24027,24717,-0.557876,1928,8771,293,21865,
DF__UTC_20201111_000558/DF__UTC_20201111_000558.642.h5,4.24757,464.448,795.128,-23475,23365,-0.706622,1920,8664,273,21682,
DF__UTC_20201111_000158/DF__UTC_20201111_000158.642.h5,4.24717,469.685,810.433,-24531,23680,-0.440593,1922,8715,1460,22957,
DF__UTC_20201111_000658/DF__UTC_20201111_000658.642.h5,4.24721,472.748,811.312,-24239,23513,-0.617391,1919,8904,278,21948,
DF__UTC_20201111_000758/DF__UTC_20201111_000758.642.h5,4.24732,471.672,798.065,-24119,24507,-0.503475,1915,8697,1013,22476,
DF__UTC_20201111_000858/DF__UTC_20201111_000858.642.h5,4.24704,487.374,835.656,-24332,24935,-0.875325,1919,8856,271,21896,
DF__UTC_20201111_001058/DF__UTC_20201111_001058.642.h5,4.24683,476.123,817.812,-24929,24722,-1.13801,1920,8899,390,22163,
DF__UTC_20201111_001158/DF__UTC_20201111_001158.642.h5,4.24657,468.635,823.848,-25058,24298,-1.22253,1928,8730,295,21910,
DF__UTC_20201111_001258/DF__UTC_20201111_001258.642.h5,4.24693,481.372,852.863,-24109,24096,-0.892501,1919,8707,289,21868,
DF__UTC_20201111_001458/DF__UTC_20201111_001458.642.h5,4.24718,474.961,822.275,-24203,24102,-0.504754,1920,8926,299,22006,
DF__UTC_20201111_001358/DF__UTC_20201111_001358.642.h5,4.24742,473.082,813.91,-23700,23559,-0.214518,1913,9804,293,22847,
DF__UTC_20201111_000958/DF__UTC_20201111_000958.642.h5,4.24735,475.967,808.627,-24020,23847,-0.555555,1916,10196,734,23778,
DF__UTC_20201111_001558/DF__UTC_20201111_001558.642.h5,4.2468,469.093,826.888,-24419,24614,-0.350256,1926,9339,299,22398,
DF__UTC_20201111_001658/DF__UTC_20201111_001658.642.h5,4.2469,475.152,820.868,-24681,24632,-0.400098,1929,9155,284,22310,
DF__UTC_20201111_001758/DF__UTC_20201111_001758.642.h5,4.24729,473.324,810.461,-24058,24249,-0.51618,1926,8793,285,21878,
DF__UTC_20201111_001858/DF__UTC_20201111_001858.642.h5,4.24721,463.956,810.797,-23800,24317,-0.476643,1914,8655,644,22077,
DF__UTC_20201111_002158/DF__UTC_20201111_002158.642.h5,4.2474,447.248,780.115,-23676,24720,-0.370891,1904,8858,267,21900,
DF__UTC_20201111_001958/DF__UTC_20201111_001958.642.h5,4.24736,469.376,811.774,-23560,23798,-0.54848,1908,9078,423,22257,
DF__UTC_20201111_002058/DF__UTC_20201111_002058.642.h5,4.24739,461.994,794.261,-23991,24020,-0.363791,1918,9220,287,22305,
DF__UTC_20201111_002258/DF__UTC_20201111_002258.642.h5,4.2475,444.556,766.842,-23496,24051,-0.540118,1909,8902,299,21939,
DF__UTC_20201111_002358/DF__UTC_20201111_002358.642.h5,4.24705,463.477,810.155,-24258,23927,-1.09908,1924,8830,288,21922,
DF__UTC_20201111_002458/DF__UTC_20201111_002458.642.h5,4.24672,471.465,823.101,-24910,25028,-1.28743,1927,8810,383,21987,
DF__UTC_20201111_002558/DF__UTC_20201111_002558.642.h5,4.24698,479.838,851.008,-24083,24203,-0.791179,1923,8867,303,21948,
DF__UTC_20201111_002758/DF__UTC_20201111_002758.642.h5,4.24751,467.438,788.105,-24386,22690,-0.432301,1910,8810,267,21849,
DF__UTC_20201111_002658/DF__UTC_20201111_002658.642.h5,4.2471,466.591,806.377,-24382,23908,-0.0749423,1917,9111,269,22139,
DF__UTC_20201111_002858/DF__UTC_20201111_002858.642.h5,4.2476,463.202,778.452,-23956,22450,-0.423235,1900,8916,404,22087,
DF__UTC_20201111_002958/DF__UTC_20201111_002958.642.h5,4.24775,458.188,761.918,-23724,23794,-0.406672,1903,9013,306,22108,
DF__UTC_20201111_003258/DF__UTC_20201111_003258.642.h5,4.24766,461.668,772.936,-23673,24019,-0.402887,1902,9064,310,22110,
DF__UTC_20201111_003358/DF__UTC_20201111_003358.642.h5,4.24779,466.53,782.324,-23118,23499,-0.36033,1897,8725,275,21744,
DF__UTC_20201111_003158/DF__UTC_20201111_003158.642.h5,4.24758,457.722,769.508,-24172,24660,-0.504132,1900,9018,720,22502,
DF__UTC_20201111_003058/DF__UTC_20201111_003058.642.h5,4.24807,449.973,739.516,-22350,23523,-0.322905,1910,9946,300,23066,
DF__UTC_20201111_003458/DF__UTC_20201111_003458.642.h5,4.24723,489.675,850.875,-23833,24701,-0.402543,1926,8863,302,21956,
DF__UTC_20201111_003558/DF__UTC_20201111_003558.642.h5,4.24768,471.919,796.013,-23297,23546,-0.524665,1918,8742,361,21880,
DF__UTC_20201111_003658/DF__UTC_20201111_003658.642.h5,4.24723,470.895,794.156,-24782,23779,-0.635119,1924,8797,291,21881,
DF__UTC_20201111_003758/DF__UTC_20201111_003758.642.h5,4.24723,463.219,784.715,-24667,25190,-1.06513,1923,8677,287,21759,
DF__UTC_20201111_003858/DF__UTC_20201111_003858.642.h5,4.24735,455.862,773.367,-24278,24735,-1.11468,1906,8602,292,21673,
DF__UTC_20201111_003958/DF__UTC_20201111_003958.642.h5,4.24734,450.799,760.9,-24625,24645,-0.528743,1906,8631,373,21761,
DF__UTC_20201111_004058/DF__UTC_20201111_004058.642.h5,4.24799,456.502,750.862,-22641,23018,-0.213271,1892,8638,267,21633,
DF__UTC_20201111_004258/DF__UTC_20201111_004258.642.h5,4.2475,455.765,754.14,-24767,23124,-0.393915,1909,8662,270,21679,
DF__UTC_20201111_004158/DF__UTC_20201111_004158.642.h5,4.24796,438.327,715.791,-23125,23200,-0.33722,1891,8679,497,21913,
DF__UTC_20201111_004358/DF__UTC_20201111_004358.642.h5,4.24772,447.545,741.85,-23795,23734,-0.223083,1908,8672,296,21707,
DF__UTC_20201111_004558/DF__UTC_20201111_004558.642.h5,4.24759,459.042,757.397,-24036,22953,-0.322034,1917,8673,274,21740,
DF__UTC_20201111_004458/DF__UTC_20201111_004458.642.h5,4.24777,450.014,744.963,-23518,23223,-0.151662,1916,8726,304,21835,
DF__UTC_20201111_004758/DF__UTC_20201111_004758.642.h5,4.24807,449.765,742.851,-22065,22799,-0.296272,1902,8633,284,21650,
DF__UTC_20201111_004658/DF__UTC_20201111_004658.642.h5,4.24781,442.743,723.224,-23660,22294,-0.253971,1911,8686,2091,23525,
DF__UTC_20201111_004858/DF__UTC_20201111_004858.642.h5,4.24794,437.12,718.497,-23119,23165,-0.387766,1889,8677,317,21743,
DF__UTC_20201111_004958/DF__UTC_20201111_004958.642.h5,4.2474,463.117,791.921,-23991,23932,-0.339188,1905,8690,609,22071,
DF__UTC_20201111_005058/DF__UTC_20201111_005058.642.h5,4.24782,444.007,746.204,-22967,24655,-0.402606,1896,8653,266,21664,
DF__UTC_20201111_005158/DF__UTC_20201111_005158.642.h5,4.24723,449.258,743.378,-25324,24832,-0.70764,1917,8686,305,21761,
DF__UTC_20201111_005258/DF__UTC_20201111_005258.642.h5,4.2473,439.923,737.223,-24860,24405,-1.01889,1907,8654,404,21796,
DF__UTC_20201111_005358/DF__UTC_20201111_005358.642.h5,4.24743,439.106,736.973,-24634,24423,-0.878932,1915,8664,439,21870,
DF__UTC_20201111_005458/DF__UTC_20201111_005458.642.h5,4.24797,432.476,711.092,-22835,24132,-0.0201322,1902,8722,302,21806,
DF__UTC_20201111_005558/DF__UTC_20201111_005558.642.h5,4.24795,447.285,730.485,-23054,23591,-0.450991,1914,8708,274,21787,
DF__UTC_20201111_005658/DF__UTC_20201111_005658.642.h5,4.24769,451.672,750.442,-23854,23802,-0.477816,1902,8754,270,21740,
DF__UTC_20201111_005758/DF__UTC_20201111_005758.642.h5,4.24784,429.969,709.74,-23660,23894,-0.283569,1908,9106,343,22226,
DF__UTC_20201111_005858/DF__UTC_20201111_005858.642.h5,4.24767,427.429,710.386,-24324,23754,-0.281763,1902,8644,419,21841,
DF__UTC_20201111_005958/DF__UTC_20201111_005958.642.h5,4.24777,438.635,727.684,-23414,22882,-0.350471,1897,8585,291,21622,
DF__UTC_20201111_010058/DF__UTC_20201111_010058.642.h5,4.24795,428.938,706.285,-22830,22801,-0.278357,1894,8734,271,21738,
DF__UTC_20201111_010158/DF__UTC_20201111_010158.642.h5,4.24785,448.845,743.373,-23072,24868,-0.426167,1900,8675,327,21738,
DF__UTC_20201111_010258/DF__UTC_20201111_010258.642.h5,4.24766,444.552,733.794,-24233,22833,-0.399828,1905,8835,289,21862,
DF__UTC_20201111_010458/DF__UTC_20201111_010458.642.h5,4.24768,457.182,760.083,-23476,24575,-0.497338,1902,8870,288,21921,
DF__UTC_20201111_010558/DF__UTC_20201111_010558.642.h5,4.24751,460.249,768.747,-23761,24115,-0.89998,1909,9098,290,22172,
DF__UTC_20201111_010358/DF__UTC_20201111_010358.642.h5,4.24744,456.644,758.415,-24452,23395,-0.411355,1909,9634,263,22637,
DF__UTC_20201111_010658/DF__UTC_20201111_010658.642.h5,4.24744,452.711,754.727,-24253,24151,-1.00496,1908,9145,271,22151,
DF__UTC_20201111_010758/DF__UTC_20201111_010758.642.h5,4.24748,449.159,741.027,-24619,24751,-0.591738,1907,8614,302,21648,
DF__UTC_20201111_010858/DF__UTC_20201111_010858.642.h5,4.24789,449.052,726.457,-23516,23376,-0.0610574,1896,8787,299,21852,
DF__UTC_20201111_010958/DF__UTC_20201111_010958.642.h5,4.24777,464.98,758.078,-23907,24297,-0.362398,1894,8764,267,21804,
DF__UTC_20201111_011158/DF__UTC_20201111_011158.642.h5,4.24787,454.404,739.066,-23461,23469,-0.15226,1891,8805,294,21851,
DF__UTC_20201111_011058/DF__UTC_20201111_011058.642.h5,4.24801,457.109,743.404,-22716,23827,-0.302814,1891,8918,794,22461,
DF__UTC_20201111_011258/DF__UTC_20201111_011258.642.h5,4.2474,459.371,759.158,-24758,24481,-0.168352,1912,8750,302,21859,
DF__UTC_20201111_011358/DF__UTC_20201111_011358.642.h5,4.24781,450.75,738.271,-23516,22948,-0.302358,1900,8879,292,21915,
DF__UTC_20201111_011458/DF__UTC_20201111_011458.642.h5,4.24769,446.524,732.018,-24117,23214,-0.212341,1901,8893,476,22112,
DF__UTC_20201111_011558/DF__UTC_20201111_011558.642.h5,4.24777,459.852,750.532,-23844,22782,-0.249328,1897,9081,316,22128,
DF__UTC_20201111_011658/DF__UTC_20201111_011658.642.h5,4.24773,445.101,730.567,-23838,23202,-0.2433,1914,8662,292,21726,
DF__UTC_20201111_011758/DF__UTC_20201111_011758.642.h5,4.24781,444.356,730.816,-23645,23418,-0.290576,1894,8798,1230,22747,
DF__UTC_20201111_011858/DF__UTC_20201111_011858.642.h5,4.24765,446.906,730.347,-24523,23326,-0.299434,1906,8686,291,21765,
DF__UTC_20201111_011958/DF__UTC_20201111_011958.642.h5,4.24748,448.179,741.434,-24508,24462,-0.551739,1903,8608,307,21660,
DF__UTC_20201111_012058/DF__UTC_20201111_012058.642.h5,4.24696,466.143,790.321,-24907,24399,-0.99901,1914,8735,299,21805,
DF__UTC_20201111_012258/DF__UTC_20201111_012258.642.h5,4.24778,446.554,734.851,-23853,23558,0.0598449,1900,8659,293,21699,
DF__UTC_20201111_012158/DF__UTC_20201111_012158.642.h5,4.24753,460.243,774.147,-23817,24575,-0.623048,1912,8783,286,21868,
DF__UTC_20201111_012458/DF__UTC_20201111_012458.642.h5,4.24781,445.721,728.926,-23831,23467,-0.320912,1901,8725,334,21820,
DF__UTC_20201111_012658/DF__UTC_20201111_012658.642.h5,4.24771,462.622,765.27,-23909,23618,-0.296273,1909,8585,307,21613,
DF__UTC_20201111_012558/DF__UTC_20201111_012558.642.h5,4.2477,470.265,775.72,-23738,24559,-0.0766814,1897,8709,673,22111,
DF__UTC_20201111_012358/DF__UTC_20201111_012358.642.h5,4.2478,459.492,751.149,-23767,23525,-0.230312,1900,8683,2073,23470,
DF__UTC_20201111_012758/DF__UTC_20201111_012758.642.h5,4.2479,441.782,720.163,-23439,22640,-0.247457,1907,8758,643,22155,
DF__UTC_20201111_012858/DF__UTC_20201111_012858.642.h5,4.24777,447.756,731.753,-23899,22538,-0.215378,1896,8626,267,21646,
DF__UTC_20201111_013058/DF__UTC_20201111_013058.642.h5,4.24783,444.55,729.689,-23695,23303,-0.325533,1896,8577,290,21603,
DF__UTC_20201111_013258/DF__UTC_20201111_013258.642.h5,4.2473,451.412,760.403,-24876,25030,-0.679936,1909,8676,288,21709,
DF__UTC_20201111_013158/DF__UTC_20201111_013158.642.h5,4.24786,446.742,736.937,-23294,24053,-0.306189,1905,8788,278,21851,
DF__UTC_20201111_012958/DF__UTC_20201111_012958.642.h5,4.24787,440.641,720.557,-23710,23088,-0.234512,1891,8641,2206,23583,
DF__UTC_20201111_013358/DF__UTC_20201111_013358.642.h5,4.24758,423.357,716.181,-24168,24420,-0.92192,1911,8710,385,21875,
DF__UTC_20201111_013458/DF__UTC_20201111_013458.642.h5,4.24747,433.319,734.622,-24442,24903,-0.629758,1914,8669,274,21709,
DF__UTC_20201111_013558/DF__UTC_20201111_013558.642.h5,4.24806,423.695,704.004,-22342,22638,0.138747,1896,8802,318,21847,
DF__UTC_20201111_013658/DF__UTC_20201111_013658.642.h5,4.24806,438.661,719.081,-22350,22589,-0.0984384,1889,8984,311,22031,
DF__UTC_20201111_013758/DF__UTC_20201111_013758.642.h5,4.24775,432.728,712.001,-24326,22488,-0.09921,1899,8804,289,21813,
DF__UTC_20201111_013858/DF__UTC_20201111_013858.642.h5,4.24782,439.369,728.499,-23519,22988,-0.0616068,1894,9006,282,22083,
DF__UTC_20201111_014158/DF__UTC_20201111_014158.642.h5,4.24773,428.838,711.003,-24235,22999,-0.122394,1906,9387,300,22471,
DF__UTC_20201111_013958/DF__UTC_20201111_013958.642.h5,4.248,436.314,722.848,-22630,22432,-0.0363759,1893,10281,280,23301,
DF__UTC_20201111_014058/DF__UTC_20201111_014058.642.h5,4.248,437.162,732.418,-22340,23065,-0.0809273,1899,10014,302,23048,
DF__UTC_20201111_014358/DF__UTC_20201111_014358.642.h5,4.24781,425.688,705.992,-23788,23661,-0.0926211,1903,8914,283,21969,
DF__UTC_20201111_014258/DF__UTC_20201111_014258.642.h5,4.24776,424.121,709.842,-23852,23048,-0.0231683,1908,9492,273,22508,
DF__UTC_20201111_014558/DF__UTC_20201111_014558.642.h5,4.24793,430.259,715.909,-23155,24358,-0.13199,1900,8824,408,21961,
DF__UTC_20201111_014458/DF__UTC_20201111_014458.642.h5,4.24776,421.624,707.036,-23859,23122,-0.0555978,1913,8979,705,22459,
DF__UTC_20201111_014658/DF__UTC_20201111_014658.642.h5,4.24787,415.883,690.475,-23654,23309,-0.154152,1895,9030,270,22075,
DF__UTC_20201111_014758/DF__UTC_20201111_014758.642.h5,4.24758,419.577,709.938,-24334,24445,-0.518221,1906,8915,304,21986,
DF__UTC_20201111_014858/DF__UTC_20201111_014858.642.h5,4.24725,428.79,731.806,-25022,24625,-0.830857,1910,9090,291,22185,
DF__UTC_20201111_015058/DF__UTC_20201111_015058.642.h5,4.24801,419.335,692.94,-22647,22798,0.362252,1893,8788,275,21848,
DF__UTC_20201111_015258/DF__UTC_20201111_015258.642.h5,4.248,428.047,711.684,-22783,23068,0.0761261,1890,8686,282,21746,
DF__UTC_20201111_015158/DF__UTC_20201111_015158.642.h5,4.24797,439.371,720.921,-22850,23910,0.0734619,1896,8955,287,22043,
DF__UTC_20201111_014958/DF__UTC_20201111_014958.642.h5,4.24752,421.547,716.368,-24441,24680,-0.500051,1909,8875,1129,22783,
DF__UTC_20201111_015358/DF__UTC_20201111_015358.642.h5,4.24789,423.081,703.386,-23314,22688,0.188324,1907,8699,683,22127,
DF__UTC_20201111_015458/DF__UTC_20201111_015458.642.h5,4.24781,414.178,691.588,-23785,23401,0.163019,1898,8680,303,21701,
DF__UTC_20201111_015558/DF__UTC_20201111_015558.642.h5,4.24774,422.706,708.804,-23917,22872,0.228984,1908,8907,270,21947,
