file_name,cmp_ratio,abs_mean_uncmp,std_dev,min_uncmp,max_uncmp,mean_uncmp,cmp_time,read_time,write_time,tot_time,
mbari2019_UTC_20190622_001234/mbari2019_UTC_20190622_001234.694.tdms.h5,4.55053,558.675,729.826,-10548,10271,-4.8592,1131,5847,276,14173,
mbari2019_UTC_20190622_001434/mbari2019_UTC_20190622_001434.694.tdms.h5,4.54953,557.47,733.996,-13230,9510,-5.013,1159,6017,191,14330,
mbari2019_UTC_20190622_001304/mbari2019_UTC_20190622_001304.694.tdms.h5,4.55058,567.826,741.089,-10386,10493,-4.57506,1151,6058,211,14367,
mbari2019_UTC_20190622_001204/mbari2019_UTC_20190622_001204.694.tdms.h5,4.55175,570.779,744.159,-9787,11324,-4.86148,1158,6123,209,14410,
mbari2019_UTC_20190622_001334/mbari2019_UTC_20190622_001334.694.tdms.h5,4.55041,563.605,739.071,-11687,11387,-4.56163,1177,6194,223,14599,
mbari2019_UTC_20190622_001134/mbari2019_UTC_20190622_001134.694.tdms.h5,4.55038,578.665,750.361,-11897,11056,-4.6806,1191,6238,204,14607,
mbari2019_UTC_20190622_001504/mbari2019_UTC_20190622_001504.694.tdms.h5,4.5506,553.616,733.27,-10441,11229,-4.86392,1176,6310,226,14661,
mbari2019_UTC_20190622_001104/mbari2019_UTC_20190622_001104.694.tdms.h5,4.55045,584.363,761.305,-11102,10637,-4.78693,1158,6108,552,14719,
mbari2019_UTC_20190622_001404/mbari2019_UTC_20190622_001404.694.tdms.h5,4.55046,562.705,735.864,-11028,10460,-4.59959,1176,6199,1370,15730,
mbari2019_UTC_20190622_001034/mbari2019_UTC_20190622_001034.694.tdms.h5,4.24841,581.236,758.025,-19336,23695,-4.71305,1177,6219,1434,15806,
mbari2019_UTC_20190622_001534/mbari2019_UTC_20190622_001534.694.tdms.h5,4.56834,557.811,737.416,-8840,10181,-4.25401,1168,5881,178,14140,
mbari2019_UTC_20190622_001634/mbari2019_UTC_20190622_001634.694.tdms.h5,4.5511,558.408,729.418,-9991,11563,-3.70533,1153,5971,210,14243,
