file_name,err_mode,err_bound,best_cmp,best_speed,cmp_ratio,rmse,abs_mean_uncmp,min_uncmp,max_uncmp,mean_uncmp,min_decmp,max_decmp,mean_dcmp,cmp_time,decmp_time,
westSac_180103005231_ch4650_4850.h5,REL,0.0001,1,0,1.86098,0.87593,170.369,-5644,5930,-0.583404,-5644,5930,-0.582268,669,284,
westSac_180103005131_ch4650_4850.h5,REL,0.0001,1,0,1.85662,0.753606,85.2194,-5073,5260,-0.446006,-5073,5259,-0.444277,667,332,
westSac_180103000831_ch4650_4850.h5,REL,0.0001,1,0,1.85046,0.770869,109.562,-5453,5124,-0.316064,-5453,5123,-0.314137,673,335,
westSac_180103000031_ch4650_4850.h5,REL,0.0001,1,0,1.65819,0.703688,63.6229,-2242,2146,-0.36949,-2242,2146,-0.367536,779,330,
westSac_180103000931_ch4650_4850.h5,REL,0.0001,1,0,1.65144,0.704198,79.354,-2161,1925,-0.246184,-2160,1924,-0.244371,712,366,
westSac_180103002431_ch4650_4850.h5,REL,0.0001,1,0,1.8086,0.704405,103.72,-4253,4651,-0.0341471,-4253,4650,-0.0338919,725,375,
westSac_180103001531_ch4650_4850.h5,REL,0.0001,1,0,1.79037,0.704137,87.349,-3886,4125,-0.189647,-3886,4125,-0.18874,682,273,
westSac_180103003131_ch4650_4850.h5,REL,0.0001,1,0,1.85948,0.825916,128.249,-5449,5587,-0.10582,-5449,5587,-0.10567,700,330,
westSac_180103001731_ch4650_4850.h5,REL,0.0001,1,0,1.87634,0.832503,96.3703,-5498,5651,-0.197639,-5498,5651,-0.196941,689,311,
westSac_180103001831_ch4650_4850.h5,REL,0.0001,1,0,1.72301,0.703414,80.6773,-3162,3013,-0.150149,-3161,3013,-0.149713,660,379,
westSac_180103004431_ch4650_4850.h5,REL,0.0001,1,0,1.77095,0.704159,102.324,-3870,4004,-0.191062,-3869,4004,-0.190325,682,338,
westSac_180103003031_ch4650_4850.h5,REL,0.0001,1,0,1.80713,0.704195,96.0836,-4343,4468,-0.0347939,-4342,4468,-0.0344917,685,338,
westSac_180103004931_ch4650_4850.h5,REL,0.0001,1,0,1.80899,0.705188,113.567,-4464,4457,-0.384257,-4464,4457,-0.382858,682,370,
westSac_180103002131_ch4650_4850.h5,REL,0.0001,1,0,1.7157,0.703171,101.079,-3228,2934,-0.107604,-3228,2934,-0.10722,672,305,
westSac_180103002331_ch4650_4850.h5,REL,0.0001,1,0,1.73136,0.703929,105.833,-2943,3645,-0.081564,-2943,3644,-0.0807537,693,388,
westSac_180103001431_ch4650_4850.h5,REL,0.0001,1,0,1.6457,0.704961,99.7657,-2477,2576,-0.185066,-2477,2575,-0.184117,707,376,
westSac_180103005731_ch4650_4850.h5,REL,0.0001,1,0,1.69539,0.702243,92.0378,-3071,2561,-0.637084,-3071,2560,-0.634109,670,378,
westSac_180103000431_ch4650_4850.h5,REL,0.0001,1,0,1.75475,0.703904,94.4116,-3380,3545,-0.314997,-3380,3545,-0.313524,687,363,
westSac_180103003831_ch4650_4850.h5,REL,0.0001,1,0,1.72019,0.703409,100.196,-3255,3062,-0.0607562,-3254,3062,-0.0607247,702,392,
westSac_180103004631_ch4650_4850.h5,REL,0.0001,1,0,1.87542,0.931876,152.73,-6190,6107,-0.166312,-6190,6107,-0.165745,684,339,
westSac_180103000131_ch4650_4850.h5,REL,0.0001,1,0,1.74614,0.703878,96.8463,-3188,3575,-0.357725,-3188,3574,-0.355682,703,390,
westSac_180103002531_ch4650_4850.h5,REL,0.0001,1,0,1.64818,0.703181,89.9256,-2567,2454,-0.0649131,-2566,2453,-0.0648027,697,376,
westSac_180103001031_ch4650_4850.h5,REL,0.0001,1,0,1.65393,0.704964,83.7273,-2281,2386,-0.237921,-2281,2386,-0.236671,717,392,
westSac_180103000231_ch4650_4850.h5,REL,0.0001,1,0,1.83453,0.704734,99.3338,-5077,4735,-0.352881,-5076,4735,-0.351512,686,358,
westSac_180103002031_ch4650_4850.h5,REL,0.0001,1,0,1.64277,0.704076,75.4271,-2639,2051,-0.107844,-2639,2050,-0.107358,708,399,
westSac_180103005631_ch4650_4850.h5,REL,0.0001,1,0,1.73819,0.715665,91.1984,-3322,3106,-0.609765,-3322,3106,-0.60792,764,367,
westSac_180103001931_ch4650_4850.h5,REL,0.0001,1,0,1.71953,0.703487,96.0594,-3150,3115,-0.128341,-3150,3114,-0.127826,692,371,
westSac_180103003631_ch4650_4850.h5,REL,0.0001,1,0,1.80551,0.703585,86.0282,-4367,4313,-0.0826126,-4367,4313,-0.0824474,676,262,
westSac_180103005531_ch4650_4850.h5,REL,0.0001,1,0,1.74893,0.703964,95.8051,-3372,3300,-0.579391,-3371,3299,-0.576485,712,328,
westSac_180103004531_ch4650_4850.h5,REL,0.0001,1,0,1.86225,0.859168,114.358,-5626,5793,-0.241503,-5626,5793,-0.240395,666,331,
westSac_180103003231_ch4650_4850.h5,REL,0.0001,1,0,1.70774,0.702797,84.6778,-3059,2870,-0.0203818,-3059,2869,-0.0205328,686,358,
westSac_180103000531_ch4650_4850.h5,REL,0.0001,1,0,1.70144,0.702987,83.795,-3065,2619,-0.305493,-3065,2618,-0.304118,701,389,
westSac_180103005031_ch4650_4850.h5,REL,0.0001,1,0,1.75691,0.705806,103.845,-3528,3593,-0.424587,-3528,3593,-0.42305,642,404,
westSac_180103002631_ch4650_4850.h5,REL,0.0001,1,0,1.65019,0.704183,77.7345,-2243,2301,-0.0484028,-2242,2300,-0.0484413,707,390,
westSac_180103000631_ch4650_4850.h5,REL,0.0001,1,0,1.65716,0.703415,72.9517,-2102,1958,-0.302009,-2101,1957,-0.300904,698,372,
westSac_180103003531_ch4650_4850.h5,REL,0.0001,1,0,1.65007,0.704446,71.7515,-2015,2196,-0.036593,-2014,2195,-0.0367614,772,368,
westSac_180103010131_ch4650_4850.h5,REL,0.0001,1,0,1.79799,0.7051,90.1529,-4017,3970,-0.733809,-4017,3970,-0.730405,688,380,
