file_name,rate,prec,cmp_ratio,rmse,abs_mean_uncmp,min_uncmp,max_uncmp,mean_uncmp,min_decmp,max_decmp,mean_dcmp,cmp_time,decmp_time,
westSac_180103010331_ch4650_4850.h5,8,0,1.97059,6.16564,169.49,-6085,6016,-0.683595,-6036,6044,-1.8404,390,271,
westSac_180103000031_ch4650_4850.h5,8,0,1.97059,3.32233,63.6229,-2242,2146,-0.36949,-2243,2144,-1.48389,349,260,
westSac_180103002231_ch4650_4850.h5,8,0,1.97059,3.56284,74.5356,-1862,1971,-0.0748214,-1900,1965,-1.21422,446,263,
westSac_180103004031_ch4650_4850.h5,8,0,1.97059,3.6833,78.7687,-2979,2917,-0.102142,-3014,2931,-1.2371,460,267,
westSac_180103003531_ch4650_4850.h5,8,0,1.97059,3.51672,71.7515,-2015,2196,-0.036593,-2037,2194,-1.17721,448,263,
westSac_180103005731_ch4650_4850.h5,8,0,1.97059,3.96046,92.0378,-3071,2561,-0.637084,-3068,2558,-1.77489,449,285,
westSac_180103004631_ch4650_4850.h5,8,0,1.97059,5.7825,152.73,-6190,6107,-0.166312,-6232,6140,-1.33321,448,265,
westSac_180103004831_ch4650_4850.h5,8,0,1.97059,3.57479,73.0672,-1922,2111,-0.333498,-1931,2100,-1.45753,449,271,
westSac_180103004331_ch4650_4850.h5,8,0,1.97059,4.35709,105.208,-3722,4271,-0.204412,-3719,4269,-1.36053,450,265,
westSac_180103002731_ch4650_4850.h5,8,0,1.97059,4.48447,114.19,-3804,3956,-0.0502675,-3778,3976,-1.21368,450,273,
westSac_180103004131_ch4650_4850.h5,8,0,1.97059,4.61411,118.923,-4056,3901,-0.13216,-4030,3929,-1.28028,450,272,
westSac_180103003731_ch4650_4850.h5,8,0,1.97059,4.07202,95.568,-2415,2394,-0.0975823,-2440,2405,-1.25289,448,233,
westSac_180103004531_ch4650_4850.h5,8,0,1.97059,4.76703,114.358,-5626,5793,-0.241503,-5752,5760,-1.39512,448,274,
westSac_180103010231_ch4650_4850.h5,8,0,1.97059,4.35359,111.53,-3410,3767,-0.742908,-3454,3818,-1.9106,450,218,
westSac_180103002431_ch4650_4850.h5,8,0,1.97059,4.42747,103.72,-4253,4651,-0.0341471,-4278,4666,-1.18394,440,244,
westSac_180103000131_ch4650_4850.h5,8,0,1.97059,4.15186,96.8463,-3188,3575,-0.357725,-3230,3573,-1.4966,449,251,
westSac_180103003931_ch4650_4850.h5,8,0,1.97059,4.36903,107.701,-4186,4271,-0.0825939,-4202,4262,-1.24541,253,273,
westSac_180103010031_ch4650_4850.h5,8,0,1.97059,4.01902,92.9492,-3130,3501,-0.696248,-3146,3490,-1.83369,449,270,
westSac_180103005431_ch4650_4850.h5,8,0,1.97059,4.06479,97.2828,-2882,2867,-0.5492,-2844,2872,-1.69947,449,254,
westSac_180103005831_ch4650_4850.h5,8,0,1.97059,3.86661,88.8678,-2464,2544,-0.649163,-2474,2537,-1.7829,451,224,
westSac_180103002331_ch4650_4850.h5,8,0,1.97059,4.27947,105.833,-2943,3645,-0.081564,-2940,3614,-1.24097,449,271,
westSac_180103001331_ch4650_4850.h5,8,0,1.97059,3.77706,85.1024,-2097,2060,-0.184178,-2112,2064,-1.3376,451,264,
westSac_180103002931_ch4650_4850.h5,8,0,1.97059,4.11007,95.526,-3515,3954,-0.0398531,-3506,3989,-1.18467,434,170,
westSac_180103000931_ch4650_4850.h5,8,0,1.97059,3.643,79.354,-2161,1925,-0.246184,-2166,1931,-1.38291,358,207,
westSac_180103005231_ch4650_4850.h5,8,0,1.97059,5.88231,170.369,-5644,5930,-0.583404,-5544,5984,-1.75433,456,164,
westSac_180103003831_ch4650_4850.h5,8,0,1.97059,4.12338,100.196,-3255,3062,-0.0607562,-3251,3084,-1.23468,454,265,
westSac_180103002131_ch4650_4850.h5,8,0,1.97059,4.16234,101.079,-3228,2934,-0.107604,-3226,2949,-1.27421,455,247,
westSac_180103000531_ch4650_4850.h5,8,0,1.97059,3.75877,83.795,-3065,2619,-0.305493,-3086,2603,-1.45019,454,229,
westSac_180103001131_ch4650_4850.h5,8,0,1.97059,3.67275,79.1974,-2267,2348,-0.220453,-2257,2371,-1.36481,450,243,
westSac_180103001431_ch4650_4850.h5,8,0,1.97059,4.10432,99.7657,-2477,2576,-0.185066,-2467,2581,-1.35064,457,191,
westSac_180103001931_ch4650_4850.h5,8,0,1.97059,4.07154,96.0594,-3150,3115,-0.128341,-3150,3120,-1.27778,353,250,
westSac_180103001531_ch4650_4850.h5,8,0,1.97059,3.86832,87.349,-3886,4125,-0.189647,-3876,4126,-1.33606,448,249,
westSac_180103003631_ch4650_4850.h5,8,0,1.97059,3.9374,86.0282,-4367,4313,-0.0826126,-4346,4284,-1.22119,414,261,
westSac_180103000331_ch4650_4850.h5,8,0,1.97059,3.62418,76.8146,-2460,2442,-0.338431,-2459,2452,-1.46838,393,224,
westSac_180103005031_ch4650_4850.h5,8,0,1.97059,4.2452,103.845,-3528,3593,-0.424587,-3546,3567,-1.5883,460,238,
westSac_180103001631_ch4650_4850.h5,8,0,1.97059,4.01894,78.6093,-5954,6138,-0.284879,-6024,6164,-1.40656,433,227,
westSac_180103001031_ch4650_4850.h5,8,0,1.97059,3.75318,83.7273,-2281,2386,-0.237921,-2276,2394,-1.38298,348,167,
